,MODEL,All_Remove3,Remove Neg
,,All variables; backwards stepwise; remove <.05; repeat x3,All_Remove3; remove negative vars; re-run
,Intercept,"$4,890,136","$10,322,265"
1,Ht,"$1,456,354","$2,276,995"
2,Wt,,
3,Exp,,
4,Age,"-$103,062","-$170,191"
5,G,"-$68,397",
6,GS,,
7,MP,,
8,FG,,
9,FGA,"$4,200","$2,880"
10,FGpct,,
11,ThreePt,,
12,ThreePtAttmpt,,
13,ThreePtpct,,
14,TwoPt,,
15,TwoPtAttmpt,,
16,TwoPtpct,,
17,eFGpct,,
18,FT,,
19,FTA,,
20,FTpct,"$1,346,387",
21,ORB,"-$5,225",
22,DRB,"$6,300",
23,TRB,,
24,AST,"$5,540","$5,329"
25,STL,,
26,BLK,"$8,512",
27,TOV,,
28,PF,,
29,PTS,,
30,CareerG,,
31,CareerGS,,
32,CareerMP,,
33,CareerFG,"$5,235","$1,228"
34,CareerFGA,"-$2,120",
35,Career3P,,
36,Career3PA,$741,
37,Career2P,,
38,Career2PA,,
39,CareerFT,,
40,CareerFTA,,
41,CareerORB,"$1,869","$1,018"
42,CareerDRB,,
43,CareerTRB,,
44,CareerAST,,
45,CareerSTL,,
46,CareerBLK,,
47,CareerTOV,,
48,CareerPF,,
49,CareerPTS,,
50,PlayoffG,,
51,PlayoffGS,,
52,PlayoffMP,,
53,PlayoffFG,,
54,PlayoffFGA,,
55,PlayoffFGpct,,
56,Playoff3P,,
57,Playoff3PA,,
58,Playoff3Ppct,,
59,Playoff2P,,
60,Playoff2PA,,
61,Playoff2Ppct,,
62,PlayoffeFGpct,,
63,PlayoffFT,,
64,PlayoffFTA,"$12,130","$30,521"
65,PlayoffFTpct,,
66,PlayoffORB,"$54,807","$21,269"
67,PlayoffDRB,,
68,PlayoffTRB,,
69,PlayoffAST,,
70,PlayoffSTL,,
71,PlayoffBLK,,
72,PlayoffTOV,"-$29,553","-$39,244"
73,PlayoffPF,,
74,PlayoffPTS,,
75,CareerPlayoffG,,
76,CareerPlayoffGS,,
77,CareerPlayoffMP,,
78,CareerPlayoffFG,"-$3,289",
79,CareerPlayoffFGA,,
80,CareerPlayoff3P,,
81,CareerPlayoff3PA,,
82,CareerPlayoff2P,,
83,CareerPlayoff2PA,,
84,CareerPlayoffFT,"$8,362",
85,CareerPlayoffFTA,,
86,CareerPlayoffORB,,
87,CareerPlayoffDRB,"-$9,124",
88,CareerPlayoffTRB,,
89,CareerPlayoffAST,,
90,CareerPlayoffSTL,"$25,271","$6,291"
91,CareerPlayoffBLK,,
92,CareerPlayoffTOV,,
93,CareerPlayoffPF,,
94,CareerPlayoffPTS,,
